Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
80;21100791292;"Journal of Big Data";journal;"21961115";2,714;Q1;76;124;379;6388;6745;379;10,69;51,52;31,49;1;29;Switzerland;Western Europe;"Springer Nature";"2014-2023";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1)";"Computer Science; Decision Sciences"
81;12303;"Information and Management";journal;"03787206";2,688;Q1;191;118;323;10922;3597;319;10,36;92,56;31,34;5;22;Netherlands;Western Europe;"Elsevier B.V.";"1977-2023";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
82;8000153138;"Computer Science Review";journal;"15740137";2,685;Q1;75;23;163;3817;2620;161;16,15;165,96;23,15;1;2;Ireland;Western Europe;"Elsevier Ireland Ltd";"2007-2023";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
83;18378;"IEEE Transactions on Intelligent Transportation Systems";journal;"15580016, 15249050";2,674;Q1;201;1936;1503;91221;17553;1488;11,28;47,12;25,45;0;870;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2023";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
84;4000149002;"IEEE Transactions on Information Forensics and Security";journal;"15566013";2,652;Q1;167;282;908;13082;8123;908;8,27;46,39;25,60;0;11;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2006-2023";"Computer Networks and Communications (Q1); Safety, Risk, Reliability and Quality (Q1)";"Computer Science; Engineering"
85;100459;"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS";conference and proceedings;"-";2,649;-;106;95;244;6363;2414;235;8,33;66,98;19,48;0;6;United States;Northern America;"Association for Computing Machinery (ACM)";"1973, 1982, 1991-1992, 1994, 1998, 2000, 2002, 2006-2023";"Hardware and Architecture; Information Systems; Software";"Computer Science"
86;19080;"Computers in Industry";journal;"01663615";2,646;Q1;129;138;379;8077;5286;376;11,88;58,53;23,52;5;72;Netherlands;Western Europe;"Elsevier B.V.";"1979-2024";"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
87;19900192513;"Swarm and Evolutionary Computation";journal;"22106502";2,646;Q1;98;169;450;9776;5076;444;10,52;57,85;28,38;0;15;Netherlands;Western Europe;"Elsevier B.V.";"2011-2023";"Computer Science (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1)";"Computer Science; Mathematics"
88;5900153311;"IEEE Journal on Selected Topics in Signal Processing";journal;"19324553";2,631;Q1;141;115;326;5954;3100;312;8,57;51,77;25,71;0;17;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2007-2023";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
89;110527;"Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms";conference and proceedings;"-";2,626;-;108;149;549;5900;1927;544;3,27;39,60;17,01;0;2;United States;Northern America;"Association for Computing Machinery (ACM)";"1990-1992, 1994-2023";"Mathematics (miscellaneous); Software";"Computer Science; Mathematics"
90;19700190323;"ACM Transactions on Intelligent Systems and Technology";journal;"21576912, 21576904";2,603;Q1;78;120;210;7636;2264;206;5,61;63,63;26,37;1;21;United States;Northern America;"Association for Computing Machinery (ACM)";"2010-2023";"Artificial Intelligence (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
91;25038;"IEEE Transactions on Mobile Computing";journal;"15361233";2,541;Q1;157;345;667;13489;4956;667;7,09;39,10;29,10;0;73;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2023";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
92;21100338322;"IEEE Geoscience and Remote Sensing Magazine";trade journal;"24732397, 21686831";2,539;Q1;57;60;141;7038;1760;136;10,10;117,30;26,80;0;9;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2023";"Computer Science (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy"
93;21101024053;"Big Data Mining and Analytics";journal;"20960654";2,533;Q1;38;25;73;1197;1052;73;17,84;47,88;29,55;0;4;China;Asiatic Region;"Institute of Electrical and Electronics Engineers Inc.";"2018-2023";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
94;17391;"IEEE Transactions on Signal Processing";journal;"19410476, 1053587X";2,503;Q1;301;447;1343;20655;8578;1340;5,95;46,21;21,80;0;15;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-2023";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
95;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";2,490;Q1;115;159;439;19013;6751;438;14,93;119,58;25,48;6;30;Netherlands;Western Europe;"Springer Netherlands";"1986-2023";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
96;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";2,481;Q1;128;42;118;3284;1407;106;14,34;78,19;35,42;0;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2023";"Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
97;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";2,479;Q1;34;85;52;6233;962;52;18,50;73,33;30,28;4;23;Netherlands;Western Europe;"Elsevier B.V.";"2021-2023";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
98;21080;"Mechanical Systems and Signal Processing";journal;"08883270, 10961216";2,475;Q1;210;1142;2324;51586;22586;2309;9,72;45,17;21,69;0;115;United States;Northern America;"Academic Press";"1987-2023";"Aerospace Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Mechanical Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
99;28540;"SIAM Journal on Computing";journal;"00975397, 10957111";2,471;Q1;127;64;181;2734;594;179;2,72;42,72;15,52;0;1;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1984-2023";"Computer Science (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1)";"Computer Science; Mathematics"
100;19419;"Computers in Human Behavior";journal;"07475632";2,464;Q1;251;370;1197;29361;13809;1170;11,47;79,35;48,30;28;96;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2024";"Arts and Humanities (miscellaneous) (Q1); Human-Computer Interaction (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Computer Science; Psychology"
101;4000148905;"IEEE Computational Intelligence Magazine";journal;"1556603X";2,437;Q1;71;39;131;1319;779;79;4,92;33,82;26,92;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2006-2023";"Artificial Intelligence (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
102;21101055750;"Radiology: Artificial Intelligence";journal;"26386100";2,432;Q1;35;70;179;1917;1449;137;7,51;27,39;26,09;0;12;United States;Northern America;"Radiological Society of North America Inc.";"2019-2023";"Artificial Intelligence (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
103;21100451321;"Scientific data";journal;"20524463";2,410;Q1;120;764;1085;36153;10054;153;9,72;47,32;42,47;55;248;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2023";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
104;21100933954;"Big Data and Society";journal;"20539517";2,389;Q1;69;90;229;5345;1893;173;7,95;59,39;49,22;20;33;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2023";"Communication (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
105;27277;"Journal of Network and Computer Applications";journal;"10958592, 10848045";2,384;Q1;141;133;578;10923;6321;572;11,44;82,13;21,79;1;27;United States;Northern America;"Academic Press";"1996-2024";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1)";"Computer Science"
106;21100358105;"IEEE Transactions on Control of Network Systems";journal;"23255870";2,376;Q1;67;166;469;5567;2138;467;4,13;33,54;21,28;0;24;United States;Northern America;"IEEE CONTROL SYSTEMS SOCIETY";"2014-2023";"Computer Networks and Communications (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Mathematics"
107;22489;"European Journal of Operational Research";journal;"03772217";2,371;Q1;305;664;1950;33286;13531;1940;6,74;50,13;24,70;3;133;Netherlands;Western Europe;"Elsevier B.V.";"1977-2024";"Computer Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
108;21101076096;"Nature Computational Science";journal;"26628457";2,360;Q1;27;189;150;3966;762;70;5,08;20,98;34,83;5;15;United States;Northern America;"Springer Nature";"2021-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1)";"Computer Science"
109;25534;"IEEE Transactions on Image Processing";journal;"10577149";2,359;Q1;329;550;1876;32612;22062;1876;10,70;59,29;27,77;0;12;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-2023";"Computer Graphics and Computer-Aided Design (Q1); Software (Q1)";"Computer Science"
110;17362;"IEEE Transactions on Knowledge and Data Engineering";journal;"10414347";2,358;Q1;204;468;651;21467;5263;649;6,95;45,87;27,31;0;42;United States;Northern America;"IEEE Computer Society";"1989-2023";"Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
111;21100228068;"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery";journal;"19424795, 19424787";2,330;Q1;69;45;132;5005;1775;130;10,80;111,22;33,54;3;10;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2023";"Computer Science (miscellaneous) (Q1)";"Computer Science"
112;21100934923;"IEEE Communications Standards Magazine";journal;"24712825";2,306;Q1;36;65;170;675;785;128;5,06;10,38;20,74;0;14;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2023";"Computer Networks and Communications (Q1); Law (Q1); Management of Technology and Innovation (Q1); Safety, Risk, Reliability and Quality (Q1)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
113;21101072502;"NAR Genomics and Bioinformatics";journal;"26319268";2,304;Q1;25;106;244;5754;1121;242;4,61;54,28;29,71;0;26;United Kingdom;Western Europe;"Oxford University Press";"2019-2023";"Applied Mathematics (Q1); Computer Science Applications (Q1); Genetics (Q1); Molecular Biology (Q1); Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
114;15134;"Information Sciences";journal;"00200255";2,285;Q1;227;1326;3062;60126;27361;3050;8,74;45,34;29,18;2;94;United States;Northern America;"Elsevier Inc.";"1968-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
115;26422;"SIAM Journal on Optimization";journal;"10526234, 10957189";2,282;Q1;146;112;369;4918;1282;369;3,20;43,91;20,94;0;1;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1991, 1996-2023";"Applied Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
116;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";2,281;Q1;261;350;726;20483;7062;726;9,22;58,52;18,40;0;8;United States;Northern America;"Microtome Publishing";"2001-2022";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1)";"Computer Science; Engineering; Mathematics"
117;28512;"Mathematical Programming";journal;"14364646, 00255610";2,281;Q1;143;173;322;7250;1236;316;3,24;41,91;15,26;0;1;Germany;Western Europe;"Springer-Verlag GmbH and Co. KG";"1971-2023";"Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Mathematics"
118;24804;"Neural Networks";journal;"08936080, 18792782";2,221;Q1;173;376;953;19978;9321;948;8,76;53,13;25,45;1;18;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2023";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
119;18158;"Computer Methods in Applied Mechanics and Engineering";journal;"00457825";2,218;Q1;231;716;1867;42618;13909;1865;7,55;59,52;17,46;1;46;Netherlands;Western Europe;"Elsevier B.V.";"1972-2024";"Computational Mechanics (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Computer Science; Engineering; Physics and Astronomy"
120;17956;"Briefings in Bioinformatics";journal;"14774054, 14675463";2,163;Q1;142;723;1070;47129;10111;1066;9,23;65,19;36,95;2;233;United Kingdom;Western Europe;"Oxford University Press";"2000-2023";"Information Systems (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
